epoch,step,n_episodes,success_rate,collision_rate,avg_reward,avg_reward_std,avg_dist_to_goal_mean,avg_dist_to_goal_std,final_dist_to_goal_mean,final_dist_to_goal_std,trajectory_error_mean,trajectory_error_std,path_length_mean,path_length_std,episode_steps_mean,episode_steps_std,episode_time_mean,episode_time_std,total_reward_mean,total_reward_std
1,5374,10,0.0,0.2,-11.212146917765924,45.65761029226121,6.849425287227385,1.1484688043183378,6.914464040044732,1.2517714019791597,1.051611847196853,0.48888834670175824,100.87957615537276,49.739882950600894,402.2,195.61278076853773,120.66,58.68383423056132,-11.212146917765924,45.65761029226121
2,14759,10,0.0,0.1,4.925230503950644,37.843237023264635,6.576536912825652,1.7007861109952498,6.626698656407376,2.161081323091011,1.1082270245325303,0.3290852968206942,124.14757444065997,40.783700089603606,453.9,138.29999999999998,136.17000000000002,41.489999999999995,4.925230503950644,37.843237023264635
3,27743,10,0.0,0.1,5.6489781574123,39.963186133779566,6.790747940882946,1.2306979450496454,6.739400714380695,1.675931978084699,1.7949613339182093,0.7344741143412605,127.39008647740236,40.81267199025306,454.0,138.0,136.2,41.4,5.6489781574123,39.963186133779566
4,40165,10,0.0,0.1,6.000150471931567,35.28985885179291,6.154950721619297,2.3643790783067153,6.14664804075707,2.370935506031077,1.190589390756425,0.3842017909160098,127.3214610702591,34.261494408815146,468.8,93.60000000000001,140.64000000000001,28.08,6.000150471931567,35.28985885179291
5,53779,10,0.0,0.1,9.206640547914912,30.3276459617909,6.817209188726748,1.8555286667480728,6.539814908822633,2.27008079664677,1.0987083659306063,0.37285814507367854,131.81135737224716,28.22666470789196,479.3,62.099999999999994,143.79000000000002,18.630000000000003,9.206640547914912,30.3276459617909
6,65894,10,0.0,0.0,15.590410758553139,23.3656642551867,6.296109811211002,1.926233206717953,6.115246611621396,2.066176507081081,1.083558861188925,0.34097714118711275,140.6392813435814,10.698477595284116,500.0,0.0,150.0,0.0,15.590410758553139,23.3656642551867
7,78663,10,0.0,0.1,7.553338912008803,36.961560867190855,7.010472220423333,1.2303146895608408,6.552279152316265,1.6254542421880835,1.0711132774067873,0.33221355451764045,126.70352589927961,34.17993846006921,476.1,71.7,142.82999999999998,21.51,7.553338912008803,36.961560867190855
8,90358,10,0.0,0.0,20.82005934005009,20.607532328875493,6.243611828738617,1.7894153362937757,6.097488510966481,2.0291353382208266,1.0847368315749617,0.3980818520652817,143.46200525664722,9.484913320317734,500.0,0.0,150.0,0.0,20.82005934005009,20.607532328875493
9,102565,10,0.0,0.0,1.1664716409397553,27.625588070722845,7.796271018021807,2.274749696241576,8.1981089361503,2.279292204272662,2.615737382243961,1.030502124547466,120.9793211395765,41.88377448170251,500.0,0.0,150.0,0.0,1.1664716409397553,27.625588070722845
10,115758,10,0.0,0.2,-4.433813407925181,37.3830180338019,6.208545308164201,1.3582369122215765,6.179599813986664,1.5895118133248147,3.2656362181621517,1.7074386334697491,114.80847746014247,49.037154744596705,413.7,173.54771678129333,124.11000000000001,52.064315034387995,-4.433813407925181,37.3830180338019
11,127352,10,0.0,0.2,-26.803141448589503,36.68231589728192,6.302624677603144,1.2165969435025115,6.497324348033031,1.6935689005918215,1.9566908762146842,0.9472043175543299,107.1354798186128,49.49359863231279,406.7,186.82507861633567,122.01000000000002,56.0475235849007,-26.803141448589503,36.68231589728192
12,139935,10,0.0,0.3,-45.790348114435865,22.295932580512787,5.427719796354967,0.4373220308457479,4.322227698794528,1.9990911937061746,1.7061605008646699,0.6422394661090439,100.34675050039775,49.46694121128465,386.2,189.12154821701307,115.85999999999999,56.73646446510392,-45.790348114435865,22.295932580512787
13,153107,10,0.0,0.1,-13.280819808750607,27.43219479042153,6.6647044452890185,0.48877535155540297,6.628008414403777,1.4793187032523631,3.0354525314100407,1.4067552383908404,122.80106152871622,36.527161438696616,455.4,133.8,136.62,40.14,-13.280819808750607,27.43219479042153
14,165922,10,0.0,0.0,-33.04496148831244,8.543635496170936,4.292881132488627,0.7619263450149045,2.7233709295383917,1.7034976637868557,1.6738718824826957,0.5786369560799735,125.92334716602463,1.2395552733636006,500.0,0.0,150.0,0.0,-33.04496148831244,8.543635496170936
15,178392,10,0.0,0.4,-29.839486526961355,42.3510188294552,5.883750388900987,1.4762971360837336,6.443026943365173,1.8897569269247718,1.3067377807708358,0.7613305359450725,86.1925215370499,59.70321701762046,319.2,221.66587468530196,95.76,66.49976240559059,-29.839486526961355,42.3510188294552
16,190839,10,0.0,0.1,-34.38497969461514,33.02906297825171,5.4257039592139105,2.017472322668668,4.800370699613942,2.634018857002448,1.6158795691312622,1.0699110437000914,91.47621900928324,42.68792025188313,457.5,127.5,137.25,38.25,-34.38497969461514,33.02906297825171
17,202717,10,0.1,0.2,-33.13190212940545,24.152402892379037,5.176852787005413,0.8894953356194703,5.1850106417330135,2.465965776994933,1.6965960275713745,0.5169392799792953,89.57186559614607,42.117852641306534,417.1,151.41495963081059,125.13,45.42448788924318,-33.13190212940545,24.152402892379037
18,214784,10,0.5,0.0,-23.099397821531944,31.442289755572137,4.939387850299291,0.9343390007137135,2.161023373312136,2.333630318336726,1.5982792975104614,0.7057710525076105,56.85633977452612,33.53309242660277,339.7,172.6899244310449,101.91,51.80697732931347,-23.099397821531944,31.442289755572137
19,226750,10,0.4,0.0,-18.71078836529154,34.52103721785743,4.181054910954396,0.8670900357340382,2.267365908115109,2.007458808509677,1.304040186407925,0.492133705346732,98.36515847956761,40.993652088147954,399.9,156.50012779547498,119.97,46.95003833864249,-18.71078836529154,34.52103721785743
20,239435,10,0.7,0.1,-12.866998709703092,43.66801934038433,4.680273389891128,1.0827002754554667,2.006121607645684,2.744860334171797,1.4796818733187571,0.8938796135112037,46.55163945891021,34.12411474713151,228.0,166.73511927605412,68.4,50.02053578281624,-12.866998709703092,43.66801934038433
21,252474,10,0.1,0.0,-25.27479263711823,24.234744928405053,5.144456985833914,0.591692873278862,4.048186238802627,2.474362201110344,1.6834231431143203,0.7162447668803111,103.32631985979738,37.92778169440324,461.7,114.9,138.51,34.47,-25.27479263711823,24.234744928405053
22,264443,10,0.5,0.0,-15.98020253904555,44.98821103494461,4.894827782510486,1.5770105088678423,2.5550653450729213,2.690928565442246,1.1998976101757421,0.6757659389239978,71.1017753726046,42.49204692117162,334.8,192.52729676593916,100.44000000000001,57.75818902978175,-15.98020253904555,44.98821103494461
23,277388,10,0.1,0.0,-2.9521560258387205,47.34193013478659,4.6807546676219065,1.1671197416483123,4.3618717982828485,1.5274940990689492,1.3181570493932102,0.7901285182643772,105.32843090233305,59.46899017137656,451.9,144.3,135.57,43.290000000000006,-2.9521560258387205,47.34193013478659
24,290290,10,0.1,0.0,-10.566082867486378,37.69870588376334,4.873897360670609,1.1711658210790121,5.159736987063701,1.8584590864799428,1.887843059595875,0.8895305251682968,114.5966071852544,37.09970106814668,452.0,144.0,135.6,43.2,-10.566082867486378,37.69870588376334
25,303016,10,0.1,0.0,-6.279567417301604,40.42281190442529,5.063011038246565,1.4484364200540851,4.684609759943183,2.075333514324428,1.5011123815238694,0.5986310630532499,92.40065740172169,61.19371988579552,452.9,141.3,135.87,42.39,-6.279567417301604,40.42281190442529
