epoch,step,n_episodes,success_rate,collision_rate,avg_reward,avg_reward_std,avg_dist_to_goal_mean,avg_dist_to_goal_std,final_dist_to_goal_mean,final_dist_to_goal_std,trajectory_error_mean,trajectory_error_std,path_length_mean,path_length_std,episode_steps_mean,episode_steps_std,episode_time_mean,episode_time_std,total_reward_mean,total_reward_std
12,103176,10,0.3,0.6,-22.493448404384118,61.40183670736652,5.344908714309205,2.0012156823898777,4.210053091243515,3.1828322288704007,1.42649184262937,1.0342785221629915,17.97017419426975,23.430193810156727,21.2,27.315929418564544,6.36,8.194778825569363,-22.493448404384118,61.40183670736652
13,112839,10,0.7,0.1,23.78035217008852,41.25908084496759,3.8446585823605686,1.8667107153652078,1.7317520359072678,2.352510560316481,1.3143576598401263,1.0184560042983415,50.387366204737866,45.209790710389264,49.9,41.01085222230818,14.969999999999999,12.303255666692456,23.78035217008852,41.25908084496759
14,120019,10,0.8,0.2,32.20622838205687,51.6441592196306,4.4874267226295474,1.643445723316896,1.1731882361034283,2.165341761529205,1.4196096526206803,0.5969081577007351,11.564172147785893,5.657772203236361,12.2,6.493073232299171,3.66,1.9479219696897514,32.20622838205687,51.6441592196306
15,124866,10,0.3,0.4,-13.512643804051773,53.49759056212405,5.014234173705566,1.1691300684398402,3.2203695785234436,2.2950985741712984,1.3111525631237169,0.9258668816535617,44.40289584822887,49.83361446185563,40.4,39.7773805070168,12.120000000000001,11.93321415210504,-13.512643804051773,53.49759056212405
16,132301,10,0.5,0.4,0.3012504896842074,61.140195439502996,4.983114671248927,2.073649827029721,3.020064567981801,3.5615830146060317,1.5741559483617045,0.9407161594635034,25.55521520158154,34.069607018211165,23.0,27.752477366894656,6.9,8.325743210068396,0.3012504896842074,61.140195439502996
17,137092,10,0.7,0.3,25.429940298174103,57.445690178450135,4.609051799835747,1.1579354730381417,1.09056508425626,1.5183603179334284,1.5710962361345586,1.0137259053503982,12.62636316962862,6.40251616054345,12.9,8.287943049997388,3.87,2.4863829149992163,25.429940298174103,57.445690178450135
18,138852,10,0.7,0.3,3.7587763008591883,61.05574497413998,4.388031249518483,1.5218545416056133,1.5759308208362812,2.323834376489282,1.8023035003642254,1.2478542024734762,11.37017252666508,7.206449618426169,12.2,7.4806416837060175,3.66,2.244192505111805,3.7587763008591883,61.05574497413998
19,139920,10,0.8,0.2,20.60498615590251,62.400424715325656,4.0192433495563815,1.1039728029643172,1.0360193772963089,1.6394640427313067,1.1406642827678612,0.6217243790108503,8.765337006279418,4.687375490838244,10.0,5.692099788303083,2.9999999999999996,1.7076299364909249,20.60498615590251,62.400424715325656
20,140861,10,0.8,0.2,35.053906714452644,67.40385023359326,3.3103429400129984,1.756008737007417,1.232402632114356,2.1554926995186654,0.8189827169471838,0.4280096060502678,6.8814182261323875,4.97087436793318,7.5,5.123475382979799,2.25,1.5370426148939398,35.053906714452644,67.40385023359326
21,141629,10,0.8,0.2,24.88441289789035,55.34668952430765,3.5470790023553485,1.164657459691557,0.6370407215601347,0.8867404602706754,1.0138486290434712,0.6085324855625456,9.423667414472032,4.176546174155907,11.0,6.276941930590086,3.3,1.883082579177026,24.88441289789035,55.34668952430765
22,142525,10,0.7,0.3,22.23685011405562,79.64861828832889,3.98661501314836,1.636919217770703,1.7608919686135984,2.5921058349310337,0.6353116623010993,0.404278878333571,6.252417945178111,3.898110548283801,5.8,2.85657137141714,1.7399999999999998,0.856971411425142,22.23685011405562,79.64861828832889
23,143564,10,0.7,0.3,14.794535939054242,71.92970678839848,4.8071186173903415,0.984168707941426,1.753936548423404,2.4631502907384415,1.295104665033614,0.6906565783942041,9.421767750950579,4.931351282532865,9.5,4.5,2.8499999999999996,1.35,14.794535939054242,71.92970678839848
24,144518,10,0.8,0.0,53.588772667206094,44.58546513734942,4.277281142863236,1.6487542437008564,1.3540662096341962,2.32220287124262,0.7697586977130892,0.4443681792929909,11.625306007799605,7.407175616713237,26.0,37.097169703361466,7.799999999999999,11.129150911008441,53.588772667206094,44.58546513734942
25,145428,10,0.9,0.1,50.90098089908793,50.32503083640341,4.3624990456351025,0.8381088020329266,0.6287949191623143,1.350384135254988,0.6930502982797825,0.45456903304875784,8.646457106519597,2.8691030605290004,8.4,3.3823069050575527,2.5199999999999996,1.0146920715172656,50.90098089908793,50.32503083640341
26,146493,10,0.8,0.2,36.35548721915593,66.45420764652164,3.02412210552808,1.3267555269075186,0.8719105815834057,1.3666974154771172,0.6161998494094806,0.42757328187462984,6.084940142432716,3.8032638696748995,6.8,3.867815921162743,2.0399999999999996,1.1603447763488228,36.35548721915593,66.45420764652164
27,147663,10,0.4,0.6,-22.237266542006004,73.68520410232232,4.824976339927278,1.8583205976486605,3.656774369969102,3.185343744286512,0.6592662022349747,0.39438303034516486,7.126478166171699,3.8594662073227717,14.5,12.947972814305722,4.35,3.884391844291716,-22.237266542006004,73.68520410232232
28,148395,10,0.9,0.1,62.561883747044064,43.06091200433018,3.7116372988324158,1.4216611829721006,0.46807850366401327,0.7751207882898797,0.7723713518579943,0.4196471596924082,7.798447302202757,2.588061108571187,7.3,2.368543856465402,2.19,0.7105631569396207,62.561883747044064,43.06091200433018
29,149590,10,1.0,0.0,63.84534780435901,15.338868809478708,3.787742181047151,0.6328156509851502,0.18848135326116483,0.08958427001299729,0.8384417486107288,0.45576619396072066,9.01919917040509,1.9529555299999455,9.6,2.6153393661244038,2.88,0.7846018098373213,63.84534780435901,15.338868809478708
30,150524,10,0.6,0.4,7.214789749220576,81.08759835958004,4.477516777173142,2.0475578793408675,2.491716757405233,2.9986822829959565,0.7301839791462886,0.5084490172181843,5.335779774664703,3.552522485940063,6.3,3.1638584039112754,1.89,0.9491575211733824,7.214789749220576,81.08759835958004
31,151814,10,0.9,0.1,48.36744386003956,51.83062668458123,3.9471883902456524,1.1579921349202085,0.6496720306131853,1.255978314161439,0.864098567106514,0.5106180424922072,8.176611154715832,3.9643804167523133,8.5,4.318564576337836,2.55,1.295569372901351,48.36744386003956,51.83062668458123
32,152960,10,0.9,0.1,53.94924622665475,52.811183990925315,3.130276873782003,1.0027587015613904,0.42621052047583463,0.5997616718313056,0.7279500002053163,0.45196901072746437,7.54843777117627,3.7425996193344884,7.5,3.442382895611701,2.25,1.0327148686835101,53.94924622665475,52.811183990925315
33,153687,10,0.9,0.1,60.291305250607536,54.108685126040605,3.5748847245433892,1.6121809411638661,0.3539456291587083,0.5398191939524788,0.7584964905047185,0.5903212648852394,7.614989488192474,4.307801912779225,6.9,3.562302626111375,2.07,1.0686907878334124,60.291305250607536,54.108685126040605
34,154537,10,0.8,0.2,29.052100230807536,65.08585267069739,3.538613290643668,0.9285781269622193,0.8839150620686986,1.5082513765437695,0.8048491486483954,0.5798323964720493,7.583175263855992,4.451092151582248,7.8,4.354308211415448,2.34,1.3062924634246345,29.052100230807536,65.08585267069739
35,155147,10,1.0,0.0,59.364641544510185,15.463369067640018,3.987514504675557,0.9609073192790643,0.17558640305024373,0.07606298747720872,1.1601903888458938,0.4339651511250602,10.270428523127602,3.155454023022245,11.1,4.0853396431631,3.3299999999999996,1.2256018929489298,59.364641544510185,15.463369067640018
36,155964,10,0.8,0.2,34.468163800743554,64.50043778405761,4.08777279215057,1.021272047970643,0.7062131379793191,0.9932435172369981,0.9459669882985416,0.3601601476068214,9.477527509693283,4.4197638283086755,10.7,7.849203781276162,3.2099999999999995,2.3547611343828483,34.468163800743554,64.50043778405761
37,156587,10,1.0,0.0,56.33829975090673,22.09494170663697,4.226148444539403,0.7029970120417698,0.24755190927061385,0.03244991798009062,1.450840425086767,0.47073887777825774,13.199350353137225,3.5569735242838205,13.0,5.176871642217914,3.9,1.553061492665374,56.33829975090673,22.09494170663697
38,157446,10,0.9,0.1,53.75077354809114,52.32674748014921,3.1783997856987596,1.1999773457252654,0.5934363961250273,1.0717381895751052,0.9660876536407196,0.4786622972127077,7.747516359184691,4.184497504917497,7.4,3.555277766926235,2.2199999999999998,1.0665833300778707,53.75077354809114,52.32674748014921
39,158075,10,0.9,0.1,46.04156495225267,47.60018431608318,4.071320379543638,1.3552027362319314,0.705264621249592,1.3642137089040707,1.120092500128928,0.632378719804114,9.39747708998651,4.36458756524081,10.0,4.669047011971501,3.0,1.4007141035914503,46.04156495225267,47.60018431608318
40,158965,10,1.0,0.0,69.56742446712126,11.12682038215705,3.92724368942606,1.2708988214517942,0.21500430745726667,0.06479236599833446,0.8055946840560113,0.5534468508093433,8.868942791308587,2.8384322068334047,8.4,2.3748684174075834,2.52,0.7124605252222751,69.56742446712126,11.12682038215705
41,159612,10,1.0,0.0,71.55579651590956,9.264586793007714,3.4992512209284357,1.2665473770871643,0.1980807806003619,0.06452284196278531,0.8300549873778291,0.3487876347678164,8.348292568549189,2.7412614883438917,7.6,1.9078784028338913,2.2800000000000002,0.5723635208501674,71.55579651590956,9.264586793007714
42,160578,10,0.9,0.1,48.28152406123429,40.17114666772197,4.281329195321656,1.7088248999957394,0.9189627161885865,2.0582097129395396,1.523636714997327,0.5053379464757624,11.438780255402719,2.9429236844232833,10.7,3.348133808556641,3.2099999999999995,1.0044401425669924,48.28152406123429,40.17114666772197
43,161226,10,1.0,0.0,70.70328989526722,14.975347986063271,3.754637227514509,1.2278699376154978,0.2354898366052987,0.042635889736378274,0.9727642861901954,0.4372788901793807,9.746105158567904,3.9379651090316066,8.9,3.8065732621348563,2.6699999999999995,1.1419719786404567,70.70328989526722,14.975347986063271
44,161860,10,1.0,0.0,72.45295776622747,11.885356213449194,3.784513006465043,1.381483532788077,0.21197644540284483,0.05954225532594124,0.9489774090890583,0.45700168147059556,8.685042811755348,2.9056235083428197,8.1,2.7367864366808017,2.4299999999999997,0.8210359310042404,72.45295776622747,11.885356213449194
45,162398,10,0.8,0.2,39.8630421191791,57.52606383221873,4.250489865690559,1.278391907961421,0.871998167557587,1.451720588247046,1.0170971120697299,0.4506028930436224,8.601893117827007,2.7128320012710025,8.7,2.6851443164195103,2.61,0.8055432949258531,39.8630421191791,57.52606383221873
46,162985,10,1.0,0.0,67.78410266094662,12.063992548804173,3.9754332061954782,0.9809973872679256,0.20500659636371243,0.06864139316795885,1.0464053566086173,0.37171920589926866,9.976778591034964,2.670011068544564,9.7,2.934280150224242,2.9099999999999997,0.8802840450672726,67.78410266094662,12.063992548804173
47,163767,10,1.0,0.0,76.95839473344734,6.351966378663155,3.0101623450598702,1.3214449856044523,0.1846143114304404,0.059332917976753975,0.9358525065208949,0.4961928085116469,7.71472780564366,3.2885158101246255,6.9,2.2561028345356955,2.07,0.6768308503607087,76.95839473344734,6.351966378663155
48,164892,10,0.9,0.1,52.09922747435242,51.58881601116177,3.7434394189566027,0.8680218687793834,0.61353814407903,1.3349268013289113,0.6592649390314317,0.4413337401150102,7.743377260482404,3.2159782787531244,7.7,3.034798181098704,2.3099999999999996,0.910439454329611,52.09922747435242,51.58881601116177
49,165621,10,1.0,0.0,73.74884087274748,13.792405625322868,3.275977297739039,1.5203137574346064,0.1417895318541394,0.07116527371804472,0.599850160377367,0.6612428355822089,7.568558277277082,4.526542993653181,7.3,4.405678154382137,2.1900000000000004,1.3217034463146413,73.74884087274748,13.792405625322868
50,166494,10,0.9,0.1,54.41698781015092,51.994435627974525,4.297322883336002,1.6132609563515072,1.0087117232145997,2.5564369376540803,0.5077818456069125,0.25222740061345167,7.552577478021902,3.167405888007103,7.4,2.764054992217051,2.2199999999999998,0.8292164976651152,54.41698781015092,51.994435627974525
51,167358,10,1.0,0.0,64.39274613597806,18.589849265928528,3.523360448025044,1.5666832299560833,0.16242589711991035,0.07755084787470241,0.7399568574479852,0.4540418216361309,9.86863058000755,4.575469388815546,10.2,5.075431016179809,3.0599999999999996,1.5226293048539425,64.39274613597806,18.589849265928528
52,168300,10,0.9,0.1,48.58768689700804,46.95670527996022,3.7234256989300905,1.2249056922480235,0.658898034229847,1.2798865497386058,0.6548882963398859,0.27873484735252857,7.7750049037762725,3.201840631096537,8.7,4.220189569201839,2.61,1.2660568707605515,48.58768689700804,46.95670527996022
53,168962,10,1.0,0.0,74.94893050335092,3.51062231094599,3.470636694660763,0.8582243170776542,0.17062486282882122,0.06523551833806294,0.6868585950304947,0.36115803311984823,7.681086580832303,2.0588936097676087,7.1,1.2206555615733703,2.13,0.36619666847201104,74.94893050335092,3.51062231094599
54,169819,10,0.9,0.1,53.75709650912576,52.04773659561065,4.033708195241553,1.7134064153943405,0.9814830964908179,2.3086261518115285,0.7667370018769326,0.5445433965814087,7.4750466427045,3.583627730069448,7.3,3.0347981810987035,2.19,0.9104394543296112,53.75709650912576,52.04773659561065
55,170904,10,0.9,0.1,53.578549278218915,51.85216313902371,3.8637031665687607,0.8729687393934789,0.6646679007953376,1.3171063994107877,0.9171109667325986,0.4864980218817073,8.369277604479198,3.350812201943377,8.1,3.080584360149873,2.4299999999999997,0.9241753080449617,53.578549278218915,51.85216313902371
56,171918,10,0.8,0.2,45.15531327899239,66.10358374111209,3.1408206403910923,1.5563498748642335,0.702006179981632,1.0199083488082419,0.49531567312561575,0.45866845473108603,6.112880031088625,3.8924413986985917,6.1,3.269556544854363,1.8299999999999996,0.9808669634563089,45.15531327899239,66.10358374111209
57,172818,10,1.0,0.0,60.758337887763545,10.289935302044054,3.9804919196204316,1.1625416689333903,0.1380610868168519,0.0639976386625443,0.9580508480995737,0.4670988215743985,10.332664350433799,2.7072653384968177,10.7,2.6476404589747453,3.21,0.7942921376924236,60.758337887763545,10.289935302044054
58,173593,10,1.0,0.0,73.25724190689219,9.908879391891888,3.628509932781055,1.1356636091241705,0.19604543203293515,0.0650320838183014,0.7003622411054293,0.4748732442773282,8.069053675660514,2.985962596781648,7.7,2.8301943396169813,2.3099999999999996,0.8490583018850942,73.25724190689219,9.908879391891888
59,174224,10,1.0,0.0,65.38974108129561,7.733156783383596,3.6559103875892136,1.200031475007694,0.1950388642036111,0.07142874367919785,0.7859648159039544,0.35999402051013313,8.135188330093014,2.4340461213430604,9.0,2.1908902300206643,2.7,0.6572670690061994,65.38974108129561,7.733156783383596
60,175205,10,0.9,0.1,55.962672004323,46.863678351351034,3.6261348558004878,1.1708104905866619,0.6374075778168753,1.296929022774697,0.8692745066290796,0.32126495166303426,8.33441315667056,3.6158333975796624,8.2,2.785677655436824,2.46,0.8357032966310471,55.962672004323,46.863678351351034
